Batch,Active,Inactive,Public,Acquired,Batch,Active Percentage,Inactive Percentage,Public Percentage,Acquired Percentage
S05,0,2,0,5,S05,0,28.57,0,71.43
S06,1,6,0,2,S06,11.11,66.67,0,22.22
W06,0,3,0,4,W06,0,42.86,0,57.14
S07,1,8,1,5,S07,6.67,53.33,6.67,33.33
W07,1,5,0,6,W07,8.33,41.67,0,50
S08,1,13,0,3,S08,5.88,76.47,0,17.65
W08,2,12,0,5,W08,10.53,63.16,0,26.32
S09,7,9,0,7,S09,30.43,39.13,0,30.43
W09,2,6,1,5,W09,14.29,42.86,7.14,35.71
S10,6,8,2,16,S10,18.75,25,6.25,50
W10,1,10,0,14,W10,4,40,0,56
S11,15,19,0,23,S11,26.32,33.33,0,40.35
W11,11,16,0,16,W11,25.58,37.21,0,37.21
IK12,42,22,0,3,IK12,62.69,32.84,0,4.48
S12,21,32,2,18,S12,28.77,43.84,2.74,24.66
W12,13,23,2,24,W12,20.97,37.1,3.23,38.71
S13,10,19,1,18,S13,20.83,39.58,2.08,37.5
W13,17,15,0,13,W13,37.78,33.33,0,28.89
S14,25,26,3,23,S14,32.47,33.77,3.9,29.87
W14,32,17,1,22,W14,44.44,23.61,1.39,30.56
S15,48,28,0,26,S15,47.06,27.45,0,25.49
W15,44,31,3,33,W15,39.64,27.93,2.7,29.73
S16,46,35,0,19,S16,46,35,0,19
W16,60,35,1,22,W16,50.85,29.66,0.85,18.64
S17,62,27,0,30,S17,52.1,22.69,0,25.21
W17,60,28,0,21,W17,55.05,25.69,0,19.27
S18,80,16,1,12,S18,73.39,14.68,0.92,11.01
W18,88,25,0,24,W18,64.23,18.25,0,17.52
S19,106,25,0,13,S19,73.61,17.36,0,9.03
W19,111,21,0,19,W19,73.51,13.91,0,12.58
S20,135,23,1,23,S20,74.18,12.64,0.55,12.64
W20,141,28,0,21,W20,74.21,14.74,0,11.05
S21,337,26,0,9,S21,90.59,6.99,0,2.42
W21,254,34,0,23,W21,81.67,10.93,0,7.4
S22,219,10,0,0,S22,95.63,4.37,0,0
W22,368,17,0,9,W22,93.4,4.31,0,2.28
S23,207,6,0,1,S23,96.73,2.8,0,0.47
W23,257,7,0,3,W23,96.25,2.62,0,1.12
S24,220,0,0,0,S24,100,0,0,0
W24,243,2,0,0,W24,99.18,0.82,0,0
